seed,position,initial_ovr,peak_ovr,final_ovr,ovr_ceiling,seasons_played,retired_age,career_goals,career_matches,league_titles,poty_wins,best_season_avg_output,sporting_rep,club_fan_rep,rival_crystallised,marketability,discipline_rep
763844,Forward,67,94,92,97,20,39,188,585,1,0,54,50,70,false,50,50
763845,Midfielder,75,91,89,94,20,39,35,586,2,0,55,50,70,false,50,50
763846,Defender,76,92,85,95,20,39,59,594,4,0,50,50,70,false,50,50
763847,Forward,67,93,91,96,20,39,188,593,3,0,50,50,70,false,50,50
763840,Midfielder,75,91,88,94,20,39,40,596,3,0,60,50,70,false,50,50
763841,Defender,76,91,87,95,20,39,72,597,2,0,60,50,70,false,50,50
763842,Forward,67,94,92,97,20,39,182,598,4,0,60,50,70,false,50,50
763843,Midfielder,72,88,86,90,20,39,35,598,2,0,60,50,70,false,50,50
763852,Defender,74,89,87,93,20,39,56,600,4,0,66,53,70,false,50,50
763853,Forward,64,91,89,94,20,39,174,600,0,0,66,53,70,false,50,50
763854,Midfielder,76,94,92,97,20,39,30,600,3,0,62,51,70,false,50,50
763855,Defender,74,91,88,94,20,39,77,600,1,0,62,51,70,false,50,50
763848,Forward,66,92,90,95,20,39,182,598,0,0,61,51,70,false,50,50
763849,Midfielder,74,92,90,95,20,39,26,597,1,0,60,50,70,false,50,50
763850,Defender,73,90,87,93,20,39,49,582,4,0,54,50,70,false,50,50
763851,Forward,60,87,85,90,20,39,145,583,1,0,53,50,70,false,50,50
763860,Midfielder,75,91,88,93,20,39,32,593,2,0,60,50,70,false,50,50
763861,Defender,76,92,87,95,20,39,59,590,5,0,58,50,70,false,50,50
763862,Forward,63,90,88,93,20,39,181,590,2,0,54,50,70,false,50,50
763863,Midfielder,73,90,88,93,20,39,30,591,2,0,54,50,70,false,50,50
763856,Defender,74,90,87,93,20,39,65,594,2,0,57,50,70,false,50,50
763857,Forward,64,89,87,92,20,39,171,595,2,0,59,50,70,false,50,50
763858,Midfielder,75,91,87,94,20,39,38,600,2,0,64,52,70,false,50,50
763859,Defender,73,90,87,94,20,39,61,600,3,0,64,52,70,false,50,50
763868,Forward,66,92,90,95,20,39,201,600,2,0,64,52,70,false,50,50
763869,Midfielder,74,90,88,93,20,39,38,599,2,0,62,51,70,false,50,50
763870,Defender,77,92,88,95,20,39,55,600,3,0,59,50,70,false,50,50
763871,Forward,64,93,91,96,20,39,171,600,2,0,59,50,70,false,50,50
763864,Midfielder,74,90,88,93,20,39,28,598,1,0,61,51,70,false,50,50
763865,Defender,75,90,87,94,20,39,43,598,1,0,61,51,70,false,50,50
763866,Forward,64,90,88,93,20,39,165,592,1,0,63,52,70,false,50,50
763867,Midfielder,73,89,87,91,20,39,29,593,0,0,63,52,70,false,50,50
763876,Defender,73,90,87,94,20,39,55,600,4,0,53,50,70,false,50,50
763877,Forward,63,88,86,91,20,39,162,600,1,0,53,50,70,false,50,50
763878,Midfielder,74,91,89,94,20,39,33,600,1,0,54,50,70,false,50,50
763879,Defender,74,90,87,93,20,39,60,600,1,0,54,50,70,false,50,50
763872,Forward,66,92,90,95,20,39,189,600,2,0,53,50,70,false,50,50
763873,Midfielder,76,93,85,95,20,39,23,600,2,0,53,50,70,false,50,50
763874,Defender,77,93,90,97,20,39,67,600,3,0,54,50,70,false,50,50
763875,Forward,65,91,89,94,20,39,170,600,0,0,54,50,70,false,50,50
763884,Midfielder,74,89,85,92,20,39,28,600,0,0,55,50,70,false,50,50
763885,Defender,75,90,87,94,20,39,74,600,4,0,55,50,70,false,50,50
763886,Forward,65,91,89,94,20,39,162,600,1,0,56,50,70,false,50,50
