seed,position,intensity,initial_ovr,peak_ovr,final_ovr,ovr_ceiling,seasons_played,retired_age,career_goals,career_matches,league_titles,poty_wins,best_season_avg_output,sporting_rep,club_fan_rep,rival_crystallised,marketability,discipline_rep,career_output_sum,decisive_moments,clubs_served,longest_club_tenure,winning,accolades,output,longevity,decisive,loyalty,icon,head_to_head,score_Trophy Cabinet,score_Eye-Test Romantics,score_Stats Purists,score_Loyalty Traditionalists
763844,Forward,Low,64,85,83,97,20,39,161,585,1,0,54,50,70,False,50,50,21347,0,1,20,20,5,45,100,0,100,50,50,27,24,48,60
763845,Forward,Medium,64,87,85,93,20,39,173,586,2,0,55,50,70,False,50,50,21821,0,1,20,40,10,46,100,0,100,50,50,35,27,51,64
763846,Forward,High,64,92,90,95,20,39,182,594,4,0,50,50,70,False,50,50,21578,0,1,20,80,20,43,100,0,100,50,50,50,33,55,70
763847,Midfielder,Low,64,81,78,93,20,39,25,593,3,0,50,50,70,False,50,50,21441,0,1,20,60,15,43,100,0,100,50,50,42,30,52,67
763840,Midfielder,Medium,64,87,84,94,20,39,34,596,3,0,60,50,70,False,50,50,25365,0,1,20,60,15,51,100,0,100,50,50,43,31,56,68
763841,Midfielder,High,64,89,88,93,20,39,27,597,2,0,60,50,70,False,50,50,25839,0,1,20,40,10,51,100,0,100,50,50,35,28,53,64
763842,Defender,Low,64,78,74,90,20,39,48,598,4,0,60,50,70,False,50,50,25739,0,1,20,80,20,51,100,0,100,50,50,51,34,58,71
763843,Defender,Medium,64,87,84,94,20,39,67,598,2,0,60,50,70,False,50,50,25696,0,1,20,40,10,51,100,0,100,50,50,35,28,53,64
763852,Defender,High,64,89,86,93,20,39,56,600,4,0,66,53,70,False,50,50,29140,0,1,20,80,20,57,100,0,100,50,50,51,35,61,72
763853,Forward,Low,64,83,81,94,20,39,165,600,0,0,66,53,70,False,50,50,28958,0,1,20,0,0,57,100,0,100,50,50,20,23,50,58
763854,Forward,Medium,63,87,85,94,20,39,168,600,3,0,62,51,70,False,50,50,27646,0,1,20,60,15,54,100,0,100,50,50,43,32,57,68
763855,Forward,High,64,93,92,96,20,39,204,600,1,0,62,51,70,False,50,50,27681,0,1,20,20,5,54,100,0,100,50,50,28,26,51,61
