position,intensity,season,avg_ovr,n
Forward,Low,1,68.522,11000
Forward,Low,2,73.466,11000
Forward,Low,3,79.708,11000
Forward,Low,4,80.575,11000
Forward,Low,5,80.899,11000
Forward,Low,6,81.258,11000
Forward,Low,7,82.098,11000
Forward,Low,8,82.462,11000
Forward,Low,9,82.462,11000
Forward,Low,10,82.462,11000
Forward,Low,11,82.427,11000
Forward,Low,12,82.341,11000
Forward,Low,13,82.243,11000
Forward,Low,14,82.138,11000
Forward,Low,15,81.928,11000
Forward,Low,16,81.770,11000
Forward,Low,17,81.571,11000
Forward,Low,18,81.131,11000
Forward,Low,19,80.730,11000
Forward,Low,20,80.300,11000
Forward,Medium,1,71.368,11000
Forward,Medium,2,79.165,11000
Forward,Medium,3,85.180,11000
Forward,Medium,4,85.804,11000
Forward,Medium,5,86.667,11000
Forward,Medium,6,87.353,11000
Forward,Medium,7,87.353,11000
Forward,Medium,8,87.353,11000
Forward,Medium,9,87.353,11000
Forward,Medium,10,87.353,11000
Forward,Medium,11,87.303,11000
Forward,Medium,12,87.213,11000
Forward,Medium,13,87.139,11000
Forward,Medium,14,87.062,11000
Forward,Medium,15,86.923,11000
Forward,Medium,16,86.753,11000
Forward,Medium,17,86.535,11000
Forward,Medium,18,86.135,11000
Forward,Medium,19,85.823,11000
Forward,Medium,20,85.462,11000
Forward,High,1,75.398,11000
Forward,High,2,86.387,11000
Forward,High,3,88.944,11000
Forward,High,4,90.333,11000
Forward,High,5,90.706,11000
Forward,High,6,90.706,11000
Forward,High,7,90.706,11000
Forward,High,8,90.706,11000
Forward,High,9,90.706,11000
Forward,High,10,90.706,11000
Forward,High,11,90.674,11000
Forward,High,12,90.596,11000
Forward,High,13,90.528,11000
Forward,High,14,90.435,11000
Forward,High,15,90.240,11000
Forward,High,16,90.100,11000
Forward,High,17,89.924,11000
Forward,High,18,89.648,11000
Forward,High,19,89.261,11000
Forward,High,20,88.981,11000
Midfielder,Low,1,71.000,11000
Midfielder,Low,2,76.310,11000
Midfielder,Low,3,78.575,11000
Midfielder,Low,4,80.341,11000
Midfielder,Low,5,80.743,11000
Midfielder,Low,6,81.022,11000
Midfielder,Low,7,81.383,11000
Midfielder,Low,8,81.571,11000
Midfielder,Low,9,81.579,11000
Midfielder,Low,10,81.579,11000
Midfielder,Low,11,81.355,11000
Midfielder,Low,12,81.035,11000
Midfielder,Low,13,80.805,11000
Midfielder,Low,14,80.545,11000
Midfielder,Low,15,80.256,11000
Midfielder,Low,16,80.031,11000
Midfielder,Low,17,79.887,11000
Midfielder,Low,18,79.383,11000
Midfielder,Low,19,78.951,11000
Midfielder,Low,20,78.428,11000
Midfielder,Medium,1,74.600,11000
Midfielder,Medium,2,82.448,11000
Midfielder,Medium,3,84.933,11000
Midfielder,Medium,4,85.863,11000
Midfielder,Medium,5,86.410,11000
Midfielder,Medium,6,86.730,11000
Midfielder,Medium,7,86.732,11000
Midfielder,Medium,8,86.732,11000
Midfielder,Medium,9,86.732,11000
Midfielder,Medium,10,86.732,11000
Midfielder,Medium,11,86.492,11000
Midfielder,Medium,12,86.135,11000
Midfielder,Medium,13,85.897,11000
Midfielder,Medium,14,85.687,11000
Midfielder,Medium,15,85.395,11000
Midfielder,Medium,16,85.189,11000
Midfielder,Medium,17,84.995,11000
Midfielder,Medium,18,84.627,11000
Midfielder,Medium,19,84.264,11000
Midfielder,Medium,20,83.934,11000
Midfielder,High,1,80.389,11000
Midfielder,High,2,86.680,11000
Midfielder,High,3,89.167,11000
Midfielder,High,4,89.910,11000
Midfielder,High,5,90.151,11000
Midfielder,High,6,90.151,11000
Midfielder,High,7,90.151,11000
Midfielder,High,8,90.151,11000
Midfielder,High,9,90.151,11000
Midfielder,High,10,90.151,11000
Midfielder,High,11,89.989,11000
Midfielder,High,12,89.622,11000
Midfielder,High,13,89.371,11000
Midfielder,High,14,89.160,11000
Midfielder,High,15,88.893,11000
Midfielder,High,16,88.700,11000
Midfielder,High,17,88.467,11000
Midfielder,High,18,88.145,11000
Midfielder,High,19,87.865,11000
Midfielder,High,20,87.565,11000
Defender,Low,1,70.740,11000
Defender,Low,2,76.375,11000
Defender,Low,3,78.253,11000
Defender,Low,4,79.381,11000
Defender,Low,5,80.320,11000
Defender,Low,6,80.670,11000
Defender,Low,7,81.158,11000
Defender,Low,8,81.535,11000
Defender,Low,9,81.538,11000
Defender,Low,10,81.538,11000
Defender,Low,11,81.356,11000
Defender,Low,12,81.066,11000
Defender,Low,13,80.897,11000
Defender,Low,14,80.688,11000
Defender,Low,15,80.314,11000
Defender,Low,16,80.000,11000
Defender,Low,17,79.679,11000
Defender,Low,18,79.005,11000
Defender,Low,19,78.407,11000
Defender,Low,20,77.736,11000
Defender,Medium,1,74.399,11000
Defender,Medium,2,82.506,11000
Defender,Medium,3,83.982,11000
Defender,Medium,4,85.337,11000
Defender,Medium,5,86.069,11000
Defender,Medium,6,86.627,11000
Defender,Medium,7,86.627,11000
Defender,Medium,8,86.627,11000
Defender,Medium,9,86.627,11000
Defender,Medium,10,86.627,11000
Defender,Medium,11,86.446,11000
Defender,Medium,12,86.183,11000
Defender,Medium,13,85.971,11000
Defender,Medium,14,85.788,11000
Defender,Medium,15,85.489,11000
Defender,Medium,16,85.144,11000
Defender,Medium,17,84.841,11000
Defender,Medium,18,84.207,11000
Defender,Medium,19,83.718,11000
Defender,Medium,20,83.103,11000
Defender,High,1,80.301,11000
Defender,High,2,86.360,11000
Defender,High,3,88.604,11000
Defender,High,4,89.406,11000
Defender,High,5,90.043,11000
Defender,High,6,90.043,11000
Defender,High,7,90.043,11000
Defender,High,8,90.043,11000
Defender,High,9,90.043,11000
Defender,High,10,90.043,11000
Defender,High,11,89.918,11000
Defender,High,12,89.605,11000
Defender,High,13,89.353,11000
Defender,High,14,89.182,11000
Defender,High,15,88.950,11000
Defender,High,16,88.677,11000
Defender,High,17,88.258,11000
Defender,High,18,87.888,11000
Defender,High,19,87.266,11000
Defender,High,20,86.847,11000
